TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
418,155,10,4,0.9761499148211243,0.02385008517887564,0.9766355140186916,0.990521327014218,0.990521327014218,0.06060606060606061,0.9393939393939394,0.9835294117647059,14
419,153,9,6,0.9744463373083475,0.02555366269165247,0.9789719626168224,0.9858823529411764,0.9858823529411764,0.05555555555555555,0.9444444444444444,0.9824150058616647,15
419,154,9,5,0.9761499148211243,0.02385008517887564,0.9789719626168224,0.9882075471698113,0.9882075471698113,0.05521472392638037,0.9447852760736196,0.9835680751173709,14
418,153,10,6,0.9727427597955707,0.027257240204429302,0.9766355140186916,0.9858490566037735,0.9858490566037735,0.06134969325153374,0.9386503067484663,0.9812206572769953,16
420,152,8,7,0.9744463373083475,0.02555366269165247,0.9813084112149533,0.9836065573770492,0.9836065573770492,0.05,0.95,0.9824561403508772,15
407,154,21,5,0.9557069846678024,0.044293015332197615,0.9509345794392523,0.9878640776699029,0.9878640776699029,0.12,0.88,0.9690476190476189,26
411,154,17,5,0.9625212947189097,0.03747870528109029,0.9602803738317757,0.9879807692307693,0.9879807692307693,0.09941520467836257,0.9005847953216374,0.9739336492890994,22
423,154,5,5,0.9829642248722317,0.017035775127768313,0.9883177570093458,0.9883177570093458,0.9883177570093458,0.031446540880503145,0.9685534591194969,0.9883177570093458,10
413,153,15,6,0.9642248722316865,0.03577512776831346,0.9649532710280374,0.9856801909307876,0.9856801909307876,0.08928571428571429,0.9107142857142857,0.9752066115702479,21
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
