TP,TN,FP,FN,iteration,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
418,154,10,5,1,0.974446337,0.025553663,0.976635514,0.988179669,0.988179669,0.06097561,0.93902439,0.982373678,15
422,152,6,7,2,0.977853492,0.022146508,0.985981308,0.983682984,0.983682984,0.037974684,0.962025316,0.984830805,13
421,152,7,7,3,0.976149915,0.023850085,0.98364486,0.98364486,0.98364486,0.044025157,0.955974843,0.98364486,14
421,149,7,10,4,0.971039182,0.028960818,0.98364486,0.976798144,0.976798144,0.044871795,0.955128205,0.980209546,17
423,151,5,8,5,0.977853492,0.022146508,0.988317757,0.981438515,0.981438515,0.032051282,0.967948718,0.984866123,13
418,150,10,9,6,0.967632027,0.032367973,0.976635514,0.978922717,0.978922717,0.0625,0.9375,0.977777778,19
418,153,10,6,7,0.97274276,0.02725724,0.976635514,0.985849057,0.985849057,0.061349693,0.938650307,0.981220657,16
420,153,8,6,8,0.976149915,0.023850085,0.981308411,0.985915493,0.985915493,0.049689441,0.950310559,0.983606557,14
422,152,6,7,9,0.977853492,0.022146508,0.985981308,0.983682984,0.983682984,0.037974684,0.962025316,0.984830805,13
421,153,7,6,10,0.977853492,0.022146508,0.98364486,0.985948478,0.985948478,0.04375,0.95625,0.984795322,13
