TP,TN,FP,FN,iteration,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
422,155,6,4,1,0.982964225,0.017035775,0.985981308,0.990610329,0.990610329,0.037267081,0.962732919,0.988290398,10
423,153,5,6,2,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,3,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,4,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,5,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,6,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,7,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,8,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
423,153,5,6,9,0.981260647,0.018739353,0.988317757,0.986013986,0.986013986,0.03164557,0.96835443,0.987164527,11
424,153,4,6,10,0.982964225,0.017035775,0.990654206,0.986046512,0.986046512,0.025477707,0.974522293,0.988344988,10
