TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
422,152,6,7,0.9778534923339012,0.022146507666098807,0.985981308411215,0.9836829836829837,0.9836829836829837,0.0379746835443038,0.9620253164556962,0.9848308051341891,13
420,153,8,6,0.9761499148211243,0.02385008517887564,0.9813084112149533,0.9859154929577465,0.9859154929577465,0.049689440993788817,0.9503105590062112,0.9836065573770493,14
424,153,4,6,0.9829642248722317,0.017035775127768313,0.9906542056074766,0.986046511627907,0.986046511627907,0.025477707006369428,0.9745222929936306,0.9883449883449883,10
420,151,8,8,0.9727427597955707,0.027257240204429302,0.9813084112149533,0.9813084112149533,0.9813084112149533,0.050314465408805034,0.949685534591195,0.9813084112149533,16
422,152,6,7,0.9778534923339012,0.022146507666098807,0.985981308411215,0.9836829836829837,0.9836829836829837,0.0379746835443038,0.9620253164556962,0.9848308051341891,13
411,155,17,4,0.9642248722316865,0.03577512776831346,0.9602803738317757,0.9903614457831326,0.9903614457831326,0.09883720930232558,0.9011627906976745,0.9750889679715303,21
418,155,10,4,0.9761499148211243,0.02385008517887564,0.9766355140186916,0.990521327014218,0.990521327014218,0.06060606060606061,0.9393939393939394,0.9835294117647059,14
426,151,2,8,0.9829642248722317,0.017035775127768313,0.9953271028037384,0.9815668202764977,0.9815668202764977,0.013071895424836602,0.9869281045751634,0.988399071925754,10
424,150,4,9,0.9778534923339012,0.022146507666098807,0.9906542056074766,0.9792147806004619,0.9792147806004619,0.025974025974025976,0.974025974025974,0.9849012775842044,13
422,151,6,8,0.9761499148211243,0.02385008517887564,0.985981308411215,0.9813953488372092,0.9813953488372092,0.03821656050955414,0.9617834394904459,0.9836829836829836,14
422,154,6,5,0.9812606473594548,0.018739352640545145,0.985981308411215,0.9882903981264637,0.9882903981264637,0.0375,0.9625,0.9871345029239766,11
418,156,10,3,0.9778534923339012,0.022146507666098807,0.9766355140186916,0.9928741092636579,0.9928741092636579,0.060240963855421686,0.9397590361445783,0.9846878680800941,13
422,154,6,5,0.9812606473594548,0.018739352640545145,0.985981308411215,0.9882903981264637,0.9882903981264637,0.0375,0.9625,0.9871345029239766,11
419,153,9,6,0.9744463373083475,0.02555366269165247,0.9789719626168224,0.9858823529411764,0.9858823529411764,0.05555555555555555,0.9444444444444444,0.9824150058616647,15
417,155,11,4,0.9744463373083475,0.02555366269165247,0.9742990654205608,0.9904988123515439,0.9904988123515439,0.06626506024096386,0.9337349397590361,0.9823321554770318,15
420,152,8,7,0.9744463373083475,0.02555366269165247,0.9813084112149533,0.9836065573770492,0.9836065573770492,0.05,0.95,0.9824561403508772,15
419,155,9,4,0.9778534923339012,0.022146507666098807,0.9789719626168224,0.9905437352245863,0.9905437352245863,0.054878048780487805,0.9451219512195121,0.9847238542890717,13
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
419,156,9,3,0.979557069846678,0.020442930153321975,0.9789719626168224,0.9928909952606635,0.9928909952606635,0.05454545454545454,0.9454545454545454,0.9858823529411763,12
424,153,4,6,0.9829642248722317,0.017035775127768313,0.9906542056074766,0.986046511627907,0.986046511627907,0.025477707006369428,0.9745222929936306,0.9883449883449883,10
419,152,9,7,0.9727427597955707,0.027257240204429302,0.9789719626168224,0.9835680751173709,0.9835680751173709,0.055900621118012424,0.9440993788819876,0.9812646370023419,16
416,155,12,4,0.9727427597955707,0.027257240204429302,0.9719626168224299,0.9904761904761905,0.9904761904761905,0.0718562874251497,0.9281437125748503,0.9811320754716981,16
416,153,12,6,0.969335604770017,0.030664395229982964,0.9719626168224299,0.985781990521327,0.985781990521327,0.07272727272727272,0.9272727272727272,0.9788235294117645,18
419,155,9,4,0.9778534923339012,0.022146507666098807,0.9789719626168224,0.9905437352245863,0.9905437352245863,0.054878048780487805,0.9451219512195121,0.9847238542890717,13
418,156,10,3,0.9778534923339012,0.022146507666098807,0.9766355140186916,0.9928741092636579,0.9928741092636579,0.060240963855421686,0.9397590361445783,0.9846878680800941,13
424,151,4,8,0.979557069846678,0.020442930153321975,0.9906542056074766,0.9814814814814815,0.9814814814814815,0.025806451612903226,0.9741935483870968,0.986046511627907,12
412,156,16,3,0.9676320272572402,0.03236797274275979,0.9626168224299065,0.9927710843373494,0.9927710843373494,0.09302325581395349,0.9069767441860465,0.977461447212337,19
410,157,18,2,0.9659284497444633,0.034071550255536626,0.9579439252336449,0.9951456310679612,0.9951456310679612,0.10285714285714286,0.8971428571428571,0.9761904761904763,20
422,149,6,10,0.9727427597955707,0.027257240204429302,0.985981308411215,0.9768518518518519,0.9768518518518519,0.03870967741935484,0.9612903225806452,0.9813953488372094,16
421,156,7,3,0.9829642248722317,0.017035775127768313,0.9836448598130841,0.9929245283018868,0.9929245283018868,0.04294478527607362,0.9570552147239264,0.9882629107981221,10
418,152,10,7,0.9710391822827938,0.028960817717206135,0.9766355140186916,0.9835294117647059,0.9835294117647059,0.06172839506172839,0.9382716049382716,0.9800703399765534,17
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
418,156,10,3,0.9778534923339012,0.022146507666098807,0.9766355140186916,0.9928741092636579,0.9928741092636579,0.060240963855421686,0.9397590361445783,0.9846878680800941,13
416,152,12,7,0.9676320272572402,0.03236797274275979,0.9719626168224299,0.983451536643026,0.983451536643026,0.07317073170731707,0.926829268292683,0.9776733254994124,19
417,150,11,9,0.9659284497444633,0.034071550255536626,0.9742990654205608,0.9788732394366197,0.9788732394366197,0.06832298136645963,0.9316770186335404,0.9765807962529274,20
415,153,13,6,0.9676320272572402,0.03236797274275979,0.969626168224299,0.9857482185273159,0.9857482185273159,0.0783132530120482,0.9216867469879518,0.9776207302709069,19
419,155,9,4,0.9778534923339012,0.022146507666098807,0.9789719626168224,0.9905437352245863,0.9905437352245863,0.054878048780487805,0.9451219512195121,0.9847238542890717,13
417,156,11,3,0.9761499148211243,0.02385008517887564,0.9742990654205608,0.9928571428571429,0.9928571428571429,0.0658682634730539,0.9341317365269461,0.9834905660377359,14
417,152,11,7,0.969335604770017,0.030664395229982964,0.9742990654205608,0.9834905660377359,0.9834905660377359,0.06748466257668712,0.9325153374233128,0.9788732394366196,18
416,153,12,6,0.969335604770017,0.030664395229982964,0.9719626168224299,0.985781990521327,0.985781990521327,0.07272727272727272,0.9272727272727272,0.9788235294117645,18
417,153,11,6,0.9710391822827938,0.028960817717206135,0.9742990654205608,0.9858156028368794,0.9858156028368794,0.06707317073170732,0.9329268292682927,0.9800235017626322,17
406,158,22,1,0.9608177172061328,0.039182282793867124,0.9485981308411215,0.9975429975429976,0.9975429975429976,0.12222222222222222,0.8777777777777778,0.9724550898203592,23
422,156,6,3,0.9846678023850085,0.015332197614991482,0.985981308411215,0.9929411764705882,0.9929411764705882,0.037037037037037035,0.9629629629629629,0.9894490035169988,9
425,138,3,21,0.959114139693356,0.04088586030664395,0.9929906542056075,0.952914798206278,0.952914798206278,0.02127659574468085,0.9787234042553191,0.9725400457665904,24
417,152,11,7,0.969335604770017,0.030664395229982964,0.9742990654205608,0.9834905660377359,0.9834905660377359,0.06748466257668712,0.9325153374233128,0.9788732394366196,18
417,156,11,3,0.9761499148211243,0.02385008517887564,0.9742990654205608,0.9928571428571429,0.9928571428571429,0.0658682634730539,0.9341317365269461,0.9834905660377359,14
421,153,7,6,0.9778534923339012,0.022146507666098807,0.9836448598130841,0.9859484777517564,0.9859484777517564,0.04375,0.95625,0.9847953216374269,13
415,156,13,3,0.9727427597955707,0.027257240204429302,0.969626168224299,0.992822966507177,0.992822966507177,0.07692307692307693,0.9230769230769231,0.9810874704491725,16
