TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
422,151,6,8,0.9761499148211243,0.02385008517887564,0.985981308411215,0.9813953488372092,0.9813953488372092,0.03821656050955414,0.9617834394904459,0.9836829836829836,14
422,153,6,6,0.979557069846678,0.020442930153321975,0.985981308411215,0.985981308411215,0.985981308411215,0.03773584905660377,0.9622641509433962,0.985981308411215,12
421,154,7,5,0.979557069846678,0.020442930153321975,0.9836448598130841,0.9882629107981221,0.9882629107981221,0.043478260869565216,0.9565217391304348,0.9859484777517564,12
424,154,4,5,0.9846678023850085,0.015332197614991482,0.9906542056074766,0.9883449883449883,0.9883449883449883,0.02531645569620253,0.9746835443037974,0.9894982497082847,9
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
423,148,5,11,0.9727427597955707,0.027257240204429302,0.9883177570093458,0.9746543778801844,0.9746543778801844,0.032679738562091505,0.9673202614379085,0.9814385150812065,16
417,153,11,6,0.9710391822827938,0.028960817717206135,0.9742990654205608,0.9858156028368794,0.9858156028368794,0.06707317073170732,0.9329268292682927,0.9800235017626322,17
420,154,8,5,0.9778534923339012,0.022146507666098807,0.9813084112149533,0.9882352941176471,0.9882352941176471,0.04938271604938271,0.9506172839506173,0.9847596717467761,13
424,152,4,7,0.9812606473594548,0.018739352640545145,0.9906542056074766,0.9837587006960556,0.9837587006960556,0.02564102564102564,0.9743589743589743,0.9871944121071012,11
415,156,13,3,0.9727427597955707,0.027257240204429302,0.969626168224299,0.992822966507177,0.992822966507177,0.07692307692307693,0.9230769230769231,0.9810874704491725,16
421,155,7,4,0.9812606473594548,0.018739352640545145,0.9836448598130841,0.9905882352941177,0.9905882352941177,0.043209876543209874,0.9567901234567902,0.9871043376318874,11
